M0001|[Promotional Staff]
M2261|You're now eligable to use our services.
M2262|For our newcomers, we're offering a location-saving service with which you can save this camp as your returning location.
M2263|Would you like to save your location?
M2264|Your location has been saved.
M2265|You can now directly return to this camp.
M2266|Thank you for using our service.
M2267|Cat Trading's available services are as followed.
M2268|For additional services, please consult Agent Gyaruk.
M2269|I'm sorry, but you
M2270|need the Novice's
M2271|Basic Skill Level 6 to
M2272|use the Storage Service.
M2273|Your storage will
M2274|be opened shortly.
M2275|I'm sorry, but you don't
M2276|have enough money?
M2277|Cat Trading's storage
M2278|service is 60 zeny.
M2279|It's cheap, isn't it?
M2280|The warp service is only
M2281|available for customers with
M2282|40 or more Cat Trading Points.
M2283|Please remember, you can't come back easily once you move to Midgard.
M2284|I'm sorry, but you're not eligible to use the warp service. Please check your points, and then come back.
M2285|*Yawn...*
M2286|I want to eat fish.
M2287|Don't play with money.
M2288|[Fluffy Gyaruk]
M2289|*Sniff Sniff* Can't you smell fish
M2290|around here?
M2291|Hmm?
M2292|Oh, did the Cat Paw Agent send you?
M2293|Oh, okay...
M2294|Well, where should I begin.
M2295|(Mumble Mumble)
M2296|Oh, sure.
M2297|I can start from there.
M2298|You used Kafra Corporation services on the Midgard Continent, didn't you?
M2299|Cat Trading is a new trading company based on this undeveloped continent.
M2300|Well, frankly we wanted to join the Midgard Market, but it was too competitive...
M2301|Not only that, they don't have enough fish for all of us either... (Mumble Mumble)
M2302|*Purr* Oh, our service range is similar to the Kafra's Location Saving, Storage Service, Warp Service, and more.
M2303|The only difference is that, our services are limited depending on the customer's credit.
M2304|As you might know already, we're a considerably small company struggling to make ends meet in this niche market.
M2305|We desperately need your support to grow.
M2306|You can increase your credit by helping us secure our food or by collecting minerals.
M2307|The more credits you earn, the more services you can use. You can also apply for special events.
M2308|Say, how'd you like to make a membership contract with us?
M2309|Excellent! Thank you for joining the Cat Trading membership service.
M2310|We hope you'll support our exploration of this unknown land.
M2311|Please go speak to the Cat Paw Agent over there to use a basic service.
M2312|Oh, and please come back afterwards.
M2313|How disappointing!
M2314|But I understand.
M2315|We offer one service to new customers.
M2316|If you want to use more services, you must do some things for us.
M2317|For now...
M2318|Please catch the main dish of the Cat Trading employees, fish, and collect minerals once every day.
M2319|Your credit will increase each day if you do those things.
M2320|Of course, we'll reward you with a reasonable amount of EXP for the services.
M2321|This is a good opportunity to increase your credit and EXP ate the same time.
M2322|Doesn't that sound like a win-win situation?
M2323|Would you like to start now?
M2324|Excellent.
M2325|For more information about fishing and mining, please speak to the two Cat Agents standing at the river over there.
M2326|No problem.
M2327|Please take your time.
M2328|Your current credit points with us are ^0000FF" + ep13_yong1 + "^000000.
M2329|You can increase them daily by fishing and mining, you need to submit caught Pieces of Fish to Gorurung and minerals to the Mining Agent.
M2330|[Ferocious Gorurug]
M2331|Grrr....
M2332|A cat purring like a lion
M2333|is looking into the water.
M2334|I'm busy.
M2335|I need to catch fish.
M2336|Gyaruk sent you?
M2337|Oh, you are here to fish? *Purr*
M2338|You need to catch fish. There are schools of fish in the waters.
M2339|It's hard to see them but if you use your cursor to click around, you should be able to catch them.
M2340|It's easier to fish in the water outside the town.
M2341|If you're not afraid of monsters, you can go fishing over there.
M2342|*Purr*
M2343|Now, let me teach you how to fish.
M2344|It's simple: bring your cursor to a school of fish, and then click it to grab them.
M2345|You'll have a hard time to catch them at first, but you'll get better.
M2346|It gets easier with a bit of practice.
M2347|You've brough Pieces of Fish!
M2348|GOOD JOB!
M2349|^0000ffYou gain EXP "+(checkre(3)?"20,000":"30,000")+"^000000
M2350|Bring your cursor to a school of fish, then click it to grab them.
M2351|Don't move while doing it!
M2352|^0000ffYou gain EXP 15,000^000000
M2353|Do you want to fish again?
M2354|Don't forget to bring me
M2355|Pieces of Fish if you catch them.
M2356|Hey, I've been waiting for you!
M2357|Good luck fishing today!
M2358|Gorurug looks happy to see you.
M2359|What do you want to catch today? *Purr*
M2360|^0000ffYou gain EXP 1,500^000000
M2361|Gorurung welcomes you with a happy purr.
M2362|Welcome!
M2363|You're here to give me fishes, aren't you?
M2364|Ferocious Gorurug is asleep.
M2365|*Yawn*
M2366|I'm sorry, but I'm off-duty.
M2367|I can't accept any fish right now.
M2368|Come back tomorrow, alright?
M2369|Another day has started, back to work!
M2370|You can now bring me fish if you catch them.
M2371|Nothing was caught.
M2372|Fish are swimming in the water.
M2373|[Henry Clifford]
M2374|Congratulations, you've caught a precious Marlin.
M2375|I'll give you 2 Cat Trading Points in exchange for your Marlin.
M2376|I got them from a black marketer,
M2377|but I guarantee the authenticity of these points.
M2378|Are you interested?
M2379|Thank you for the Marlin.
M2380|I've given you the points in return.
M2381|You may go check your points through the Cat Paw Agent.
M2382|Alright, if you say so.
M2383|But feel free to come back if you change your mind.
M2384|You may have hear
M2385|about this already, but
M2386|this river is full of rare fish.
M2387|I've followed these cats
M2388|to see if the rumor is true.
M2389|Marlin, the legendary silver
M2390|fish is the best prey of all.
M2391|You can also catch precious
M2392|treasure floating in the river.
M2393|If you happen to catch a Marlin,
M2394|please trade it with me.
M2395|I'll give you something
M2396|nice in return.
M2397|[Cat Paw Mining Agent]
M2398|Oh, wow~
M2399|Thank you for collecting minerals for me.
M2400|Yes, yes~ I've received the mineral samples.
M2401|I'll go ahead and add points to your credit.
M2402|To collect minerals,
M2403|we have to go to the
M2404|frozen land to the east.
M2405|But for short-haired cats
M2406|like me, the weather
M2407|is unbearable.
M2408|If the weather
M2409|is good tomorrow,
M2410|I might try to go,
M2411|but not today.
M2412|It looks freezing to
M2413|you too, doesn't it?
M2414|I hope you'll bring me minerals again tomorrow...
M2415|If you can. It's much better to wait for you to do it than go there on my own.
M2416|Umm... It's time to collect minerals.
M2417|How'd you like to collect minerals for me?
M2418|This rock contains unidentified minerals.
M2419|It's not possible to mine more than the limit.
M2420|Cat trading Point adjust
M2421|You can enter the number between 1~3000.
M2422|[Hibba Agip]
M2423|*Sigh* Look at me, I used to command the desert of Morocc, but I've been deployed to a world that only God knows where...
M2424|[Staff Officer Abidal]
M2425|Come on'that's not ture. In fact, you used to be an official of a small town, and have been promoted to the commander of the expedition.
M2426|Your success is almost too good to be true.
M2427|[Instructor Igrid]
M2428|Hey, boss. Can we just go through the motions until we get out of here? This so-called Ash-Vacuum is boring. It's heaven for the kingdom's scholars, but it's not for me.
M2429|Geez, do you have to keep calling me boss? It's Commander, alright?
M2430|Hmpf! So disrespectful.
M2431|Can you guys stop complaining?
M2432|God...
M2433|Who are you? What business do you have with Commander Agip?
M2434|What is it?
M2435|Err? Hey, aren't you that famous adventurer," + strcharinfo(0) + "? I've heard many good things about you.
M2436|I don't know what you're talking about. Boss, do you know this adventurer?
M2437|Stop calling me boss! Call me Commander, alright? Hey Abidal, is this adventurer really famous?
M2438|Commander, haven't you read the report? The adventurer who helped the expedition solve the XX case was" + strcharinfo(0)+ ".
M2439|*Ahem Ahem* I see. I've been too busy to read all the reports. So what brings you here? A reward?
M2440|This is perfect. I was going to send a messenger to you for an important discussion.
M2441|Hey Abidal, he's here to see me, not you. Remember?
M2442|Commander, please let me talk. " + strcharinfo(0) + "I'd like to talk to you privately. Can you come back later?
M2443|Why do you want to talk privately?
M2444|Is it because of me? Grrr... I'll be watching you, Abidal.
M2445|What are you still doing here? Go, go speak to Abidal.
M2446|I'm not the one who has business with you. You should go speak to Staff Officer Abidal.
M2447|Oh yes, right... You're" + strcharinfo(0) + ", right? Abidal has told me good things about you.
M2448|We're lucky to have you, my friend... I hope you're as good as the stories play you up to be.
M2449|Commander, please!
M2450|Alright, alright. gosh will you stop yelling at me?
M2451|You're not going to live long if you get angry at all the little things.
M2452|Anyways, I took some time to check your background and reports of your accomplishments.
M2453|I must say that I'm quite impressed.
M2454|As you know by now, I have to send out an expedition report to the national leaders of the Midgard continent, and I need someone that I can trust.
M2455|I'd go if I could, but my duty is to command, and my instructor over there is too dense. He'll embarrass me by acting stupid in front of the national leaders.
M2456|Come on, boss... Er, Commander!
M2457|Don't you think you're exaggerating?
M2458|Hmm... Anyways, this is not a difficult mission. All you have to do is deliver this expedition report to officials of three countries of Midgard. Simple right?
M2459|The officials are ^0000FFMinister Laur^000000 of the Rune-Midgarts' Kingdom, ^0000FFPriest Nuria^000000 of Arunafeltz, and ^0000FFGerhart^000000 of the Schwatzvalt Republic.
M2460|A messenger, who will inform the official of your arrival, is waiting for you at the time-space gap to Midgard. You'd better find him before you leave.
M2461|Since the officials are busy attending to national matters, they won't meet you unless they're informed of your arrival beforehand. I doubt those pretentious guys would even want to see me.
M2462|Travel safely, adventurer, and come back in one piece, alright?
M2463|Haven't you left yet? It's hard to make ends meet, isn't it?
M2464|I mean, if you want to be paid, you'll have to work. Do you still not understand? I'm saying that you better proceed with your mission.
M2465|Alright, alright. I know why you've come to see me.
M2466|They haven't gotten the report yet. We should send out soldiers...
M2467|That's not why I'm concerned. The problem is that the assignee failed to complete the mission and lost the report.
M2468|Anyways... It's alright. You don't have to feel bad. I understand you didn't mean it this way.
M2469|Commander, who might have done this? I will destroy him myself.
M2470|Don't impose. Our troops aren't just from one nation, they are from thre different countries, and are here to pursue their country's own interest.
M2471|Hard to say... who is behind this. If I had to guess, either side could be behind this...
M2472|*Spit* This is why I don't trust politicians. Abidal, resolving this incident is your top priority.
M2473|Igrid, evaluate the security of this camp and discipline among the soldiers.
M2474|Now it's your turn... Abidal disposed reports from various departments after he used them to compile the expedition report.
M2475|We take the security of our documents seriously. So... There are no extra copies of the expedition report.
M2476|I still remember at least 30% of the document. I might be able to rewrite another...
M2477|I need it to be perfect. What can we do with only 30%?
M2478|Hey, you must find the report. If you bring as may pages of the report as you can, then Abidal will use them to fill missing parts.
M2479|Some of them might have be consumed by monsters, or have found their way to the sea, but I don't care. You'll find them at all costs, and that's my order.
M2480|I hope you'll do your best. You need to finish what you've started. We'll do our best to help you. Am I right, guys? Abidal? Igrid?
M2481|Of Course, I'm happy to...
M2482|Now, search everywhere for the pages of that report. Staff Officer Abidal will bind them into the full report for you.
M2483|Ah, and... I've received a report that you tried to hand out the report to our enemy when the situation happened.
M2484|Hahaha! You're smart, my friend. Of course, I don't like smart soldiers.
M2485|Let me tell you this: I can care less about justice or righteousness, but loyalty and faithfulness are very important. Keep that in mind for your own good, alright?
M2486|I wish you good luck in finding the pages. Try to clean any smudges off them when you find them, alright?
M2487|Commander, I'll go find those evil scoundrels...
M2488|I wonder who's behind this. Frankly, I must say that every country is a suspect.
M2489|Ah, and... I've received a report that you fought hard against the enemy to protect the report from them.
M2490|Umm...
M2491|Hahaha, you're fearless and I can make good use of a soldier like you at any time of the day.
M2492|Let me tell you this, loyalty and faithfulness are very, very important. They may cause you hardship sometimes, but those qualities will guarantee you the last laugh.
M2493|Talk to my staff officer until you're finisehd finding the pages of the lost report. Right now, I'm swarmed with work.
M2494|I'm sure you'll easily find those if you keep your eyes open. I must warn you about the monsters around this area though. Who knows? They might love the taste of paper.
M2495|How have you been doing? I've heard Igrid has personally send out his soldiers to support you guys.
M2496|Haven't you met them?
M2497|While searching for the report, look around and meet our soldiers.
M2498|They've been sent to help you and Abidal. Ask their help if you think you need it.
M2499|So, the report has been restored successfully?
M2500|This was finished more quickly than I thought. Let me see...
M2501|It looks alright. I don't have to read this thoroughly because I trust Abidal.
M2502|Now, let's go back to your original mission. I'd like you to deliver this to the national leaders of the three countries of Midgard.
M2503|Dont worry too much, my friend.
M2504|I've arranged troops in the time-space gap to protect the report.
M2505|Of course, you can't see them because they're undercover soldiers under my direct command. Hahaha!
M2506|Let me remind you again. The officials are these three people: ^0000FFMinister Laur^000000 of the Rune-Midgarts Kingdom, ^0000FFPriest Nuria^000000 of Arunafeltz and ^0000FFGerhart^000000 of the Schwarzwald Republic.
M2507|Make sure to deliver the report to them without fail. Come back in one piece, alright?
M2508|Is something wrong? Alright, we'll write another report for you.
M2509|Oh, how was your trip? Hey, you look better than you did when you left. Did you drop by your hometown and enjoy great food or something?
M2510|So tell me, did you bring the report to all three national leaders? Good job.
M2511|I understand there were some unforeseen obstacles we didn't anticipate since we thought this mission was pretty trivial, but you still did your best.
M2512|I must warn you, however, this is not the end of these strange events. You're involved in this situation so deeply that you can't get out of it. Hahaha!
M2513|Don't worry. I'm not here to fool around. Isn't that right?
M2514|Yes, sir. We can't let the same thing happen again.
M2515|I shall find out who's behind this, and destroy him.
M2516|So... I was hoping that you'll come back and help us once we figure out who's behind this. Will you?
M2517|And please take this small reward.
M2518|Thank you for your help so far.
M2519|Then I'll see you next time. Keep yourself in one piece, alright?
M2520|Hey, how have you been? It's too early to say that we've figured out who's the mastermind.
M2521|Please be patient, I'll contact you when the time is right.
M2522|Wait, have you explored this area yet? I mean the wide tundra and fields around the camp.
M2523|There are many fun things outside. If you are an adventurer, go explore for yourself. Come back after you've explored the areas around the camp.
M2524|Ah, it's you again. So, are you accustomed to this area now?
M2525|What brings you here again? You seem to have something to say to me.
M2526|Well hello then...
M2527|Please be patient. I'll contact you when the time is right.
M2528|What portal? I've never heard about it.
M2529|That place must be where both races fight against each other. It might be dangerous there.
M2530|I have no idea of what it is like. It is not in my field of expertise.
M2531|There is someone here who can help you. He is a historian from Rune-Midgarts. He may be aware of some relics or something that could help.
M2532|Find the historian and see if he has any useful information for you.
M2533|He's at his post, you can't find him?
M2534|His name is Magniffer... look for him.. he's somewhere around here...
M2535|Did you talk with the scholar? Thesedays, I haven't seen him for a while.
M2536|That's because you don't like talking to him.
M2537|Hey, don't judge me like that...the problem is only that I can't see him often.
M2538|Whatever. Did something happen because he showed up to me? Tell me more.
M2539|Hmmm... umm... so...
M2540|So, that's why that happened like that... It's so complicated...
M2541|And you guys...you just take a task that you start up at first.
M2542|You sent him to Doctor Magnifer first....
M2543|I just thought that he needed someone to talk to.
M2544|Ah yeah... you're right.
M2545|Hmm... for example, you want to investigate a cave that you found, but you got on the Laphine and Sapha's nerves. right?
M2546|And that two guys pay attention and stay quiet, but they are doing it for themselves..
M2547|The most important thing is that this place is the ground that the Yggdrasilberry takes root acording to Magnifer.
M2548|Abidal, do you have anything to say about this?
M2549|Our object is to make contact with one tribe and investgate this world and how adaptable it can be.
M2550|Actually, we don't have to make this situation bigger than it already is.
M2551|Yeah right. I don't want to extend this thing anymore...
M2552|But the two tribes have remained neutral towards us up until now.
M2553|We don't really know what attitude they have towards us.
M2554|Yeah.. that makes sense... If they made a general attack, we would probably fail.
M2555|We should map out a strategy. There is a method that uses Laphine and Sapha's together.
M2556|We send this guy to one of the tribes and ask for cooperation in our investigation.
M2557|Will they help us? They have already said threatening words...
M2558|Of course they will help us. if they reject our demand, we just say that we'll ask for help from the other tribe.
M2559|Right, if we do that, they will have no other choice.
M2560|In this situation, they want to avoid showing that place to the other tribe.
M2561|So, they have to cooperate with us.
M2562|Oh, you have a malicious idea.
M2563|That's called that Kuhotanrangjigea from east. I didn't make that by myself.
M2564|Whatever.. Hey, you there... your name is " + strcharinfo(0) + " right? Do you know what to do?
M2565|Go to one of the tribes and ask for help officially. I'll send someone to the other tribe.
M2566|I'm going to give you a choice. Which tribe do you want to go to?
M2567|Okay, then I place responsibility on you. from now on you focus on acquiring a good reputation with the Laphine.
M2568|It won't be easy to get a good impression from the Sapha again.
M2569|So you must earn us a good reputation from the Laphine.
M2570|Will you choose the Laphine?
M2571|Good. You are now responsible with building our relationship with the Laphine tribe.
M2572|Go to the chief of the Laphine and if he doesn't accept our request, just say that you are going to ask for help from the Sapha.
M2573|You have your orders! Now I'm going to look for an adventurer who is willing to be sent to the Sapha.
M2574|Yeah? Then think again and decide.
M2575|Okay, then I place responsibility on you. from now on you focus on acquiring a good reputation with the Sapha.
M2576|It won't be easy to get a good impression from the Laphine again.
M2577|So you must earn us a good reputation from the Sapha.
M2578|Will you choose the Sapha?
M2579|Good. You are now responsible with building our relationship with the Sapha tribe.
M2580|Go to the chief of the Sapha and if he doesn't accept our request, just say that you are going to ask for help from the Laphine.
M2581|You have your orders! Now I'm going to look for an adventurer who is willing to be sent to the Laphine.
M2582|Yeah? then think again and decide.
M2583|I'm going to look for an adventurer who is willing to be sent to the Sapha.
M2584|How's the activity in Laphine? They have a stern character.
M2585|I'm not cut out for matching with them...ew...
M2586|I'm going to send a few able men to the Sapha, you don't have to worry about it.
M2587|How's the activity in Sapha? They have a stern character.
M2588|I'm going to send a few able men to the Laphine, you don't have to worry about it.
M2589|You've come back alive? Let us celebrate your immunity!
M2590|Who would have thought that that outsiders would be treated so vulgar by the leaders of the other tribes?
M2591|I have said before this thing is not the last, and certainly there is something waiting for us.
M2592|It is time for us to head out, is it not, instructor?
M2593|Right... It's time...
M2594|I'm ready.
M2595|I am looking forward to what will happen... Whew...
M2596|Come on, that's not true. In fact, you used to be an official of a small town, and have been promoted to the commander of the expedition. Your success is almost too good to be true.
M2597|Hey, boss. Can we just go through the motions until we get out of here? This so-called Ash-Vacuum is boring. It's heaven for the kingdom scholars, but it's not for me.
M2598|Geez, do you have to keep calling me boss? I'm the Commander, alright? So disrespectful.
M2599|Can you guys stop complaining? God...
M2600|What is it? If you have too much time on your hands, you'd better go outside and find something productive to do.
M2601|Phew, I'm glad the mission is over. Thank you so much for your help.
M2602|We'll contact you again when we have another mission for you. I hope we can count on your help again when the time comes.
M2603|I'm Staff Officer Abidal of the Midgard Expedition. How may I help you?
M2604|The Midgard Expedition is conducted by a group of explorers from the three countries of Midgard and the Mercenary Association. We're here to explore the Ash-Vacuum.
M2605|Command Hibba Agip behind me is our commander. He may appear unreliable, but he has extensive knowledge and experience in exploration.
M2606|We have many aides and scholars to support our expedition.
M2607|Oh, you may know this already, but Commander Agip isn't from any of the three countries. Neither am I or Instructor Igrid.
M2608|There's an obvious power struggle among the three countries to assign their officers to the commander position.
M2609|As a last resort, they had to select Commander Agip since he's unaffiliated with any of those countries, but is talented enough to lead the expedition.
M2610|We, the commanders, Igrid, and I aren't used to the leadership role. We're having trouble taking care of everything that's happening. *Sigh*
M2611|The members of the Midgard Expedition are conducting various kinds of research about the Ash-Vacuum searching for possible living creatures and studying what might be beneficial for the development of the mainland.
M2612|If you look around, you'll find many people in need of your help. Enjoy your stay in the otherworld, and feel free to ask me if you have questions.
M2613|We're still at an early stage of the expedition, so we haven't made any major achievements. That's why we need help from adventurers like you.
M2614|If you look around this camp, you'll find many opportunities to help us. We always welcome every bit of help.
M2615|So far, only a few truths about the Ash-Vacuum have been revealed.
M2616|We now know there's a demihuman race in this otherworld, but we're too busy figuring out the true nature of the time-space gap, let alone study the demihuman race in depth.
M2617|My advice for you will be to be careful when you encounter members of that race. Who knows? They might be extremely hostile toward other races.
M2618|Oh, and take heed, unidentified creatures appear outside the camp during nighttime. Be careful of them, too.
M2619|Oh, welcome back. I apologize for troubling you like this. I didn't feel to comfortable talking to you back there.
M2620|In fact, I have a favor to ask of you. From what I know of your accomplishments you're the right person for this.
M2621|On behalf of the expedition, I'd like to give you a mission. Would you like to accept it?
M2622|Thank you so much. I had a good feeling about you, and I was so sure that you'd be willing to help.
M2623|Let's cut to the chase. The mission is simple, deliver our expedition report to the three countries of Midgard.
M2624|But I have to tell you... We sent out three adventurers on this mission before you, and they all dissapeared. Please don't disclose this information to anyone.
M2625|The commander or I cannot leave this camp, even though delivering the report is one of our most important duties. That's why I need someone reliable and trustworthy like you.
M2626|Phew, I'm so glad that you've accepted this mission. Now, please go receive the report from the commander. He'll officially assign you to the mission.
M2627|I'll prepare for your departure.
M2628|Please go speak to the commander.
M2629|Oh, I see... Then can you help me whenever you have some time?
M2630|This is urgent, please think it over and come back if you change your mind.
M2631|I've reported to the commander about your decision to help us.
M2632|Please go speak to him.
M2633|You've been assinged to the mission officially. Good luck, and I hope you'll come back safely.
M2634|I've heard the story. Why don't you go speak to the commander first?
M2635|It's as what the commander said. I still remember the contents of the report, even though it might not all be accurate without any references.
M2636|If you bring me the pages of the lost report, I'll fill the missing parts and be able to complete the report again.
M2637|Why don't you go check the site of the accident? You might find some clues of their whereabouts. and...
M2638|This is my opinion, but otherworldly creatures might have taken an interest in the pages.
M2639|I'm thinking this because the report contains information about the ecology of the otherworldly creatures. It's also made of paper and ink, materials from the mainland that might seem interesting to those creatures.
M2640|Anyways, please bring the pages of the report in ^0000FFincrements of 10^000000 whenever you find them. I'll try to put them in order.
M2641|How have you been doing with finding the report's lost pages?
M2642|Feel free to tell me whenever you're ready.
M2643|Oh, you've collected enough pages...
M2644|Why don't you check the report's restoration status again?
M2645|Have you brought me pages of the lost report? Please bring them to me in increments of 10.
M2646|Thank you. Let me try to put them in order.
M2647|Umm... This page should go here and..
M2648|Thank you for your hard work. We were able to restore one volume of the report.
M2649|This is the first volume of the report. I'm glad that we've restored atleast the first part.
M2650|Keep up the good work on finding the rest of the volumes.
M2651|Unfortunately, this is the first volume of the report which we've restored already. I'm sorry, but we need to find pages for the rest of the volumes.
M2652|This is the second volume of the report. I'm glad that we've restored atleast the second part.
M2653|Unfortunately, this is the second volume of the report which we've restored already. I'm sorry, but we need to find pages for the rest of the volumes.
M2654|This is the third volume of the report. I'm glad that we've restored atleast the third part.
M2655|Unfortunately, this is the third volume of the report which we've restored already. I'm sorry, but we need to find pages for the rest of the volumes.
M2656|This is the fourth volume of the report. I'm glad that we've restored atleast the fourth part.
M2657|Unfortunately, this is the fourth volume of the report which we've restored already. I'm sorry, but we need to find pages for the rest of the volumes.
M2658|I'm sorry, but you've brought pages from different volumes of the report, I was unable to put them in order.
M2659|I'm sorry, but please go try to find pages that can be bound into one volume.
M2660|You didn't bring enough pages, please bring them to me in increments of 10.
M2661|Let's see how far we've progressed on the report's restoration.
M2662|Oh, great! Every volume of the report has been restored. I'll bind them into one book for you.
M2663|I'm glad that we were able to make this again. Please bring this report to the commander.
M2664|Well, you haven't restored any volumes of the report yet. Please try harder.
M2665|You have restored the first volume of the report. There are 3 volumes left to restore.
M2666|You have restored the second volume of the report. There are 3 volumes left to restore.
M2667|You have restored the third volume of the report. There are 3 volumes left to restore.
M2668|You have restored the fourth volume of the report. There are 3 volumes left to restore.
M2669|You have restored the first and second volume of the report. There are 2 volumes left to restore.
M2670|You have restored the first and third volume of the report. There are 2 volumes left to restore.
M2671|You have restored the first and fourth volume of the report. There are 2 volumes left to restore.
M2672|You have restored the second and third volume of the report. There are 2 volumes left to restore.
M2673|You have restored the second and fourth volume of the report. There are 2 volumes left to restore.
M2674|You have restored the third and fourth volume of the report. There are 2 volumes left to restore.
M2675|You have restored the first, second and third volume of the report. There is 1 volume left to restore.
M2676|You have restored the second, third and fourth volume of the report. There is 1 volume left to restore.
M2677|Phew, I'm glad we can resume the mission again.
M2678|...Aren't you leaving? I think you should.
M2679|I heard that you got a new duty from Commander Agip.
M2680|Hello, I'm Staff Officer Abidal. Safe travels, Adventurer.
M2681|Hey, rookies. I guess you were lucky enough to complete the mission.
M2682|This is not the end. Keep yourself in one piece until we need your services again.
M2683|I'm Instructor Igrid of the Midgard Expedition. I'm in charge of training and commanding soldiers.
M2684|You must want to become an official member of our expedition.
M2685|I'm sorry, but you're too weak to endure my intensive training.
M2686|Give up before you get hurt.
M2687|If you have too much time on your hands, look around. There's plenty of chores available for so-called adventurers's like you.
M2688|If you do your best to do them, I might accept you as a trainee on this expedition.
M2689|I don't trust you. Hm. Sorry. I don't really have the right to say that if the commander has assigned you to the mission.
M2690|If you're going to give up, give up now. That'll be better for both of us.
M2691|I knew you couldn't do it. Didn't I tell you to give up when you had the chance?!
M2692|Do you think I'm doing this for you? No, I'm just using this chance to discipline idle soldiers.
M2693|What are you looking at? Go mind your own business!
M2694|I am Expedition Training Instructor Igrid, and the commander responsible for training soldiers. 
M2695|[Expedition Messenger]
M2696|Welcome, I've been waiting for you.
M2697|You must be " + strcharinfo(0) + ". Nice to meet you.
M2698|Let me check something quicly. You received the report directly from the commander, didn't you? May I see it?
M2699|Excellent. Thank you. Then we'll go back to the mainland and let the leaders know that you, "+ strcharinfo(0) + ", have departed.
M2700|Guys, it's time to go.
M2701|You, head to Schwaltzval Republic.
M2702|And you, take Arunafeltz. I'll visit Prontera Palace.
M2703|I'll see you guys later.
M2704|What's up? Why haven't you left...?
M2705|Argh... Why are you doing this?!
M2706|Give me the report.
M2707|Wha... What are you doing? You can't give up the report...
M2708|Awww...
M2709|Give it to me, now!
M2710|Argh... You...
M2711|*Cough* Oh, thank god! " + strcharinfo(0) + ", please take the report and run!
M2712|No... Noooo!
M2713|Argh... " + strcharinfo(0) + ", are you alright? The report... The report...
M2714|[Expedition Agent]
M2715|We lost the report. The pages are blowing away!
M2716|Haha, I may have failed to take the report, but it's better destroyed than in your hands!
M2717|Are you alright? What about the report... ?
M2718|*Cough* The report is out of our reach now...
M2719|If we mobilize all our troops to search this entire area...
M2720|We must report this to the commander before anything else.
M2721|"+ strcharinfo(0) + ", please report to the commander immidiatly. Let us take care of the rest.
M2722|Yes, please report to the commander...
M2723|Oh, yeah? Then I'll have to use force!
M2724|Argh!
M2725|Were you assigned to deliver the expedition report?
M2726|I'm sorry, but I don't see any report in your hands. Please bring me the report, so I can confirm your identification.
M2727|Please hurry up and report this incident to the commander.
M2728|Good day! I'm here, just waiting for someone. Well, that's my duty.
M2729|- When you tried to talk to him, he disappeared into thin air. He looked like someone on a very important mission... -
M2730|[Expedition Scout]
M2731|Good day. I'm from the Third Scout Party under direct command of the commander of the Midgard Expedition.
M2732|I've been ordered by Instructor Igrid to conduct a search for something.
M2733|Oh, you must be"+strcharinfo(0)+". I heard that you'll be delivering the report.
M2734|Searching for lost pages was tougher then I expected. Please come back later when I'm finished making one round.
M2735|Good news! I've found "+.@i+" pieces of paper that appear to be part of the report.
M2736|I'm doing my best, but I haven't found any pages yet.
M2737|Well then, keep up the good work!
M2738|Who are you? Why do you want to know about our search results? Are you from the army?
M2739|Man, don't you know that you can be arrested for interrupting a military operation?
M2740|Please leave immediately.
M2741|I'm sorry, but I'm on duty. Why don't we talk later when I'm off-duty?
M2742|[Laur]
M2743|I'm Laur, the aide of the Home Minister of the Rune-Midgarts Kingdom. Do you have any business with me?
M2744|Oh, you brought me the report from the Midgard Expedition. What took you so long? I received a message about your departure a long time ago.
M2745|Well, tell the commander that I'm not happy with your tardiness. Now, give me the report.
M2746|I knew it was the wrong idea to out a mercenary in the commander position. See, nothing is done on time. Gosh!
M2747|*Ahem Ahem* Thank you for bringing me the report. I guess I was wrong about the commander. This report is actually very well done.
M2748|But don't forget to tell him that I need the expedition reports on time from now on. Alright? *Ahem*
M2749|Why are you back? You've delivered the report to me already. Are you suffering from amnesia or something?
M2750|You should leave and go back to your work.
M2751|Can you sense the great disorder occuring on the Midgard Continent and the Rune-Midgarts' Kingdom?
M2752|Still, there always a silver lining, no matter how dangerous this world may become.
M2753|There is hope and opportunity beyond the chaos, and I see the world beyond the time-space gap as a source of new hope.
M2754|[Nuria]
M2755|Welcome, stranger. How can I help you?
M2756|Oh, I see. You've brought me a report from the expedition beyond the time-space gap.
M2757|I regret admitting that you've brought it much later than I expected, but... I'm glad it is here safely. Please give it to me.
M2758|I'm happy to see that they've made good progress so far. Please tell the commander to keep up the good work.
M2759|Excuse me, but it's time to pray now. Please be safe on your travels.
M2760|Oh, right, I already received the report from you. Don't worry, you didn't forget.
M2761|Please be safe on your way back to the expedition camp.
M2762|Good day, stranger. May Freya bless you.
M2763|[Gerhart]
M2764|Welcome, " + strcharinfo(0) + ". What took you so long?
M2765|Oh, who am I? Let's say... That you can make ends meet because of me.
M2766|Make sense?
M2767|Do you know how long I waited for this report? *Sigh* ...Fine, just give it to me.
M2768|Hmmm... This report is a clear demonstration of Commander Hibba Agip's competence... Well, that's great.
M2769|Thank you for bringing the report.
M2770|Please tell the commander to keep up the good work.
M2771|Now excuse me, I must go back to work.
M2772|What is it? Do you still have business with me?
M2773|I've received the report safely.
